Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,22.428571428571427,0.0,2.857142857142857,4.440892098500626E-16,62.06896551724138,7.105427357601002E-15,109,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
cancer2.dt,61.1285714285715,12.89999999999995,61.999999999999936,19.71428571428566,62.06896551724138,7.105427357601002E-15,115,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,62.43122923588022,10.076564631735383,63.35149501661145,14.421683214677628,62.06896551724138,7.105427357601002E-15,108,0.0,41.53846153846154,256.06027396948093,0,0.0,0,0.0
