Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
card1.dt,49.42028985507247,0.0,43.35260115606936,0.0,45.930232558139544,7.105427357601002E-15,80,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
card2.dt,45.376811594202856,1.3478260869565266,43.352601156069404,4.263256414560601E-14,45.930232558139544,7.105427357601002E-15,73,0.0,0.0,0.0,0,0.0,0,0.0
card3.dt,44.64023870417733,1.629878547111853,45.800748044882845,3.3148065574849164,45.930232558139544,7.105427357601002E-15,79,0.0,5.333333333333332,7.5424723326565015,0,0.0,0,0.0
