Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.1320087563176757,0.0,0.4077833924276106,0.0,0.39447693915089216,5.551115123125783E-17,2,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.4796991999248066,0.21837114576341302,0.34283188894892846,0.0246068508421956,0.39447693915089216,5.551115123125783E-17,0,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.5334806015008484,0.2195885410607825,0.41715698324816647,0.10351286433770675,0.39447693915089216,5.551115123125783E-17,1,0.0,20.77698594978707,30.561668241440803,0,0.0,0,0.0
