Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,34.57142857142856,7.105427357601002E-15,31.428571428571427,0.0,37.93103448275861,7.105427357601002E-15,65,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
cancer2.dt,34.571428571428534,3.552713678800501E-14,31.428571428571455,2.8421709430404007E-14,37.93103448275861,7.105427357601002E-15,59,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,34.67226890756299,0.13653846058211652,32.436974789916036,1.3653846058211712,37.93103448275861,7.105427357601002E-15,66,0.0,3.0303030303030267,4.285495643554831,0,0.0,0,0.0
