Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
gene1.dt,19.101595298068847,3.552713678800501E-15,14.693534844668347,1.7763568394002505E-15,32.78688524590165,1.4210854715202004E-14,379,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
gene2.dt,27.275398824517254,4.266063517393249,28.21858382311782,4.400898895522875,32.78688524590165,1.4210854715202004E-14,379,0.0,0.0,0.0,0,0.0,0,0.0
gene3.dt,31.65530695905569,6.876969838035745,32.38117581205454,6.684200321024718,32.78688524590165,1.4210854715202004E-14,390,0.0,15.95569086954239,32.0308019879416,0,0.0,0,0.0
