Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
gene1.dt,16.81360201511335,0.0,13.811922753988243,1.7763568394002505E-15,32.78688524590165,1.4210854715202004E-14,379,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
gene2.dt,17.539182759585753,3.0772998643504272,18.422893926672256,3.2324701355935077,32.78688524590165,1.4210854715202004E-14,379,0.0,0.0,0.0,0,0.0,0,0.0
gene3.dt,24.911139098796472,10.300855413592952,25.078694786058893,9.40955650214464,32.78688524590165,1.4210854715202004E-14,390,0.0,35.442146632713545,52.394947679555514,0,0.0,0,0.0
