Problem;Training set mean;Training set stddev;Validation set mean;Validation set stddev;Test set mean;Test set stddev;Test set classificaction mean;Test set classification stddev;Overfit mean;Overfit stddev;Total epochs mean;Total epochs stddev;Relevant epochs mean;Relevant epochs stddev
building1.dt;0.463003851224667;0.0;2.4272195930355522;0.0;1.3707283045321146;2.220446049250313E-16;1052;0.0;0.0;0.0;0;1.5811388300841898;0;0.0
building2.dt;0.5509674157864369;0.07364681655789815;2.2758746015914144;0.055915024143728564;1.3707283045321146;2.220446049250313E-16;1052;0.0;0.0;0.0;0;0.0;0;0.0
building3.dt;1.3500914299320181;0.8145033218938803;1.8348439280660154;0.4516032533026538;1.3707283045321146;2.220446049250313E-16;1052;0.0;0.0;0.0;0;0.0;0;0.0
