Problem;Training set mean;Training set stddev;Validation set mean;Validation set stddev;Test set mean;Test set stddev;Test set classificaction mean;Test set classification stddev;Overfit mean;Overfit stddev;Total epochs mean;Total epochs stddev;Relevant epochs mean;Relevant epochs stddev
building1.dt;0.3106850996211646;0.0;3.6598237724331963;0.0;1.3913672170544786;2.220446049250313E-16;1052;0.0;0.0;0.0;0;1.5811388300841898;0;0.0
building2.dt;0.46392573310113316;0.32758181747430065;4.439058274662329;0.4245826317957924;1.3913672170544786;2.220446049250313E-16;1052;0.0;0.0;0.0;0;0.0;0;0.0
building3.dt;1.5294730199261246;1.1731770473264116;3.4895280757882357;1.0865976455895168;1.3913672170544786;2.220446049250313E-16;1052;0.0;0.0;0.0;0;0.0;0;0.0
