Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
gene1.dt,17.968094038623008,0.0,13.014273719563393,0.0,32.786885245901644,7.105427357601002E-15,379,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
gene2.dt,22.87153652392946,2.216413972378003,23.320738874895056,3.6661317404873697,32.786885245901644,7.105427357601002E-15,379,0.0,0.0,0.0,0,0.0,0,0.0
gene3.dt,26.860275596384632,5.7572773894494915,26.9894305329184,5.987680785860637,32.786885245901644,7.105427357601002E-15,390,0.0,17.707428344415877,40.89936631644729,0,0.0,0,0.0
