Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
building1.dt,0.3607841078761997,0.0,2.83916098024952,4.440892098500626E-16,1.3710275888579844,0.0,1052,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
building2.dt,0.48477312638232706,0.1947161204098683,1.941548954087847,0.6712841535396047,1.3710275888579844,0.0,1052,0.0,0.0,0.0,0,0.0,0,0.0
uilding3.dt,1.2663302342193477,0.8366706882079401,1.7538125628029775,0.6265756171556477,1.3710275888579844,0.0,1052,0.0,19.249306121510863,81.84882961879683,0,0.0,0,0.0
