Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
glass1.dt,17.91277258566978,0.0,16.66666666666666,3.552713678800501E-15,28.930817610062896,0.0,43,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
glass2.dt,15.545171339563845,1.6139356818677402,16.358024691358015,0.4140866624999606,28.930817610062896,0.0,47,0.0,0.0,0.0,0,0.0,0,0.0
glass3.dt,18.1584334668447,3.926799946243924,17.594356261022927,1.9192602572805568,28.930817610062896,0.0,46,0.0,7.095835925809788,11.662712048510475,0,0.0,0,0.0
