Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,0.7987088606732655,0.0,0.3986359708972498,0.0,0.4089904495309985,1.6653345369377348E-16,52,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
flare2.dt,0.348450725806313,0.09271694981130588,0.3254916112477817,0.01815430905753809,0.4089904495309985,1.6653345369377348E-16,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.46056863906936774,0.1709877263838013,0.42274569503739445,0.1327230340493404,0.4089904495309985,1.6653345369377348E-16,44,0.0,28.437494605751034,40.796304217367556,0,0.0,0,0.0
