Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.0059865291877796,0.0,0.4064171379736496,5.551115123125783E-17,0.4060117091078931,2.7755575615628914E-16,52,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
flare2.dt,0.37603750183888945,0.12214829017439469,0.32995565114051756,0.01736020746777648,0.4060117091078931,2.7755575615628914E-16,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.4715071430476696,0.16882277751477173,0.41955081864979643,0.12225278894824691,0.4060117091078931,2.7755575615628914E-16,44,0.0,25.81334672407268,36.9421127243098,0,0.0,0,0.0
