Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,34.57142857142856,7.105427357601002E-15,31.428571428571427,0.0,37.93103448275861,7.105427357601002E-15,65,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
cancer2.dt,6.971428571428572,9.211527826476946,5.200000000000006,8.742857142857142,37.93103448275861,7.105427357601002E-15,59,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,21.270588235294085,20.88111921689104,20.72941176470583,22.36770119875722,37.93103448275861,7.105427357601002E-15,66,0.0,637.8030303030303,973.6003026690208,0,0.0,0,0.0
