Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.4826612979915679,0.0,0.4301180469065799,0.0,0.4146278332038752,5.551115123125783E-17,2,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.5769835203772326,0.302782929899225,0.4037631294581269,0.02592890044223795,0.4146278332038752,5.551115123125783E-17,0,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6136494754539064,0.29980639255793035,0.45956564355604845,0.08224826920354548,0.4146278332038752,5.551115123125783E-17,1,0.0,13.037699570371757,18.527606577860418,0,0.0,0,0.0
