Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,35.14285714285714,0.0,31.428571428571427,0.0,37.93103448275861,7.105427357601002E-15,65,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
cancer2.dt,34.62857142857139,0.17142857142857115,31.428571428571455,2.8421709430404007E-14,37.93103448275861,7.105427357601002E-15,59,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,34.7193277310924,0.19159663865546114,32.436974789916036,1.3653846058211712,37.93103448275861,7.105427357601002E-15,66,0.0,3.0303030303030267,4.285495643554831,0,0.0,0,0.0
