Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,34.14285714285714,0.0,22.857142857142858,3.552713678800501E-15,37.93103448275861,7.105427357601002E-15,65,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
cancer2.dt,7.0285714285714125,9.040904776828114,4.228571428571425,6.213612443002584,37.93103448275861,7.105427357601002E-15,59,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,21.29747899159662,20.78427136133157,20.28235294117645,22.37793863520289,37.93103448275861,7.105427357601002E-15,66,0.0,687.3055555555554,1056.712969615837,0,0.0,0,0.0
