Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,2.0471054407441547,0.0,0.48427751426219917,5.551115123125783E-17,0.3818330363079335,5.551115123125783E-17,2,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.6146549607862218,0.4774835192550541,0.3955026663842321,0.029591729622911823,0.3818330363079335,5.551115123125783E-17,0,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6456664622772382,0.4724768626931395,0.44537780387060605,0.07333037621491983,0.3818330363079335,5.551115123125783E-17,1,0.0,11.981477614245318,17.02501442460968,0,0.0,0,0.0
