Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.3229477503701415,0.0,0.42387891075607537,5.551115123125783E-17,0.3753030658583124,5.551115123125783E-17,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.5747367647228421,0.24941224968878759,0.406452117608697,0.007377504022819543,0.3753030658583124,5.551115123125783E-17,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6099794563994786,0.24719778450502444,0.4660210605172884,0.08094591556074614,0.3753030658583124,5.551115123125783E-17,44,0.0,13.86106085008864,19.700935290861697,0,0.0,0,0.0
