Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
hearta1.dt,26.984782608695728,0.0,15.182608695652187,0.0,28.082608695652162,1.0658141036401503E-14,230,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
hearta2.dt,12.151449275362285,3.0227676976018647,15.211594202898532,0.3711956079671181,28.082608695652162,1.0658141036401503E-14,230,0.0,0.0,0.0,0,0.0,0,0.0
hearta3.dt,19.428942881500404,10.160072727001998,22.820289855072474,10.320036964754683,28.082608695652162,1.0658141036401503E-14,230,0.0,47.27396535521173,66.97464485089051,0,0.0,0,0.0
