Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
cancer1.dt,34.85714285714285,7.105427357601002E-15,31.142857142857153,1.0658141036401503E-14,37.93103448275861,7.105427357601002E-15,65,0.0,0.0,0.0,1,4.527692569068709,0,0.0
cancer2.dt,6.714285714285671,9.393223784261988,5.285714285714278,8.625780059371609,37.93103448275861,7.105427357601002E-15,59,0.0,0.0,0.0,0,0.0,0,0.0
cancer3.dt,20.52583586626136,20.8189475471685,20.011550151975722,21.835377572871842,37.93103448275861,7.105427357601002E-15,66,0.0,609.3114169215088,950.9891674106128,0,0.0,0,0.0
