Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
glass1.dt,17.91277258566978,0.0,16.66666666666666,3.552713678800501E-15,28.930817610062913,1.7763568394002505E-14,43,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
glass2.dt,11.780893042575276,2.7815794871442088,13.292181069958827,2.3879839702756986,28.930817610062913,1.7763568394002505E-14,47,0.0,0.0,0.0,0,0.0,0,0.0
glass3.dt,15.930798778090274,6.036871976992386,16.446122497902444,4.748991496922129,28.930817610062913,1.7763568394002505E-14,46,0.0,24.480745755472768,41.7305245255398,0,0.0,0,0.0
