Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
glass1.dt,17.75700934579439,0.0,16.66666666666666,3.552713678800501E-15,25.786163522012576,7.105427357601002E-15,30,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
glass2.dt,20.654205607476566,0.7268209426623972,16.73868312757205,0.38782051080187147,25.786163522012576,7.105427357601002E-15,33,0.0,0.0,0.0,0,0.0,0,0.0
glass3.dt,20.41536863966761,0.7992474103798032,16.74897119341557,0.44679116770798827,25.786163522012576,7.105427357601002E-15,41,0.0,0.05464480874316946,0.4197347403206884,0,0.0,0,0.0
