Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
glass1.dt,18.224299065420556,3.552713678800501E-15,16.66666666666666,3.552713678800501E-15,28.930817610062913,1.7763568394002505E-14,43,0.0,0.0,0.0,0,0.9128709291752769,0,0.0
glass2.dt,9.81308411214955,4.3541328460335205,12.160493827160513,2.900358855666403,28.930817610062913,1.7763568394002505E-14,47,0.0,0.0,0.0,0,0.0,0,0.0
glass3.dt,14.5845809515168,7.30962989418959,15.742538655160093,5.453247490959151,28.930817610062913,1.7763568394002505E-14,46,0.0,31.83511430663253,55.7358114834744,0,0.0,0,0.0
