Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,2.162110452498624,0.0,0.4858830210708885,0.0,0.37994393959493206,0.0,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.6148172967772086,0.51578192954261,0.3839249135702589,0.034241058931175926,0.37994393959493206,0.0,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6494564341222222,0.5097729637756091,0.4373717947983383,0.07916383177914045,0.37994393959493206,0.0,44,0.0,13.276580375599329,18.950801645078066,0,0.0,0,0.0
