Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
hearta1.dt,27.41956521739137,3.552713678800501E-15,24.13913043478256,0.0,28.082608695652148,3.552713678800501E-15,135,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
hearta2.dt,26.71521739130441,0.2347826086956525,24.13913043478259,2.8421709430404007E-14,28.082608695652148,3.552713678800501E-15,125,0.0,0.0,0.0,0,0.0,0,0.0
hearta3.dt,26.57787723785173,0.2740664890037073,25.113554987212254,1.3193770810598098,28.082608695652148,3.552713678800501E-15,133,0.0,3.8124399615754307,5.391604299393136,0,0.0,0,0.0
