Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
building1.dt,0.6047763520081563,1.1102230246251565E-16,2.1291710929393814,0.0,1.3569401024166063,2.220446049250313E-16,1052,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
building2.dt,0.792789466060982,0.10890291562618835,3.0671938908101275,0.520424820819166,1.3569401024166063,2.220446049250313E-16,1052,0.0,0.0,0.0,0,0.0,0,0.0
building3.dt,1.3245040375096213,0.5463875015891447,2.325053179739999,0.8351580842395738,1.3569401024166063,2.220446049250313E-16,1052,0.0,0.0,0.0,0,0.0,0,0.0
