Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,0.7995010064692322,0.0,0.40124235977813,0.0,0.413580878269292,0.0,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.4286849785616284,0.1277709876057667,0.3452199953112024,0.03130580138794221,0.413580878269292,0.0,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.5092654030015422,0.15529707652888902,0.43690354596638076,0.12776805321147125,0.413580878269292,0.0,44,0.0,25.762661211469105,38.711243402161784,0,0.0,0,0.0
