Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.097323743395554,0.0,0.42616588443983083,0.0,0.37556775375805046,5.551115123125783E-17,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.49996371589966154,0.19924400800462133,0.36444938810517163,0.02318611546796547,0.37556775375805046,5.551115123125783E-17,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.5402296698946379,0.1998052843801965,0.42414043111184274,0.08322079972154066,0.37556775375805046,5.551115123125783E-17,44,0.0,15.609067355229787,22.453607750331077,0,0.0,0,0.0
