Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.7393703513588366,0.0,0.456133308241101,0.0,0.39094516870810747,5.551115123125783E-17,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.5644416221634936,0.3916468621464433,0.3482272408694343,0.036334384501648415,0.39094516870810747,5.551115123125783E-17,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6081560574507512,0.3856273984170454,0.4203363064677682,0.10231766099805126,0.39094516870810747,5.551115123125783E-17,44,0.0,19.92955759068774,28.921181977077794,0,0.0,0,0.0
