Problem,Training set mean,Training set stddev,Validation set mean,Validation set stddev,Test set mean,Test set stddev,Test set classificaction mean,Test set classification stddev,Overfit mean,Overfit stddev,Total epochs mean,Total epochs stddev,Relevant epochs mean,Relevant epochs stddev
flare1.dt,1.9769593519359916,2.220446049250313E-16,0.46779920706462635,5.551115123125783E-17,0.3800196941349987,0.0,52,0.0,0.0,0.0,0,1.5811388300841898,0,0.0
flare2.dt,0.5992238054112304,0.4592669145533571,0.38487113741631945,0.02807637856224357,0.3800196941349987,0.0,41,0.0,0.0,0.0,0,0.0,0,0.0
flare3.dt,0.6327379380333513,0.45367479069662114,0.43729573720934733,0.07568500583509612,0.3800196941349987,0.0,44,0.0,12.954912237679022,18.457642432157893,0,0.0,0,0.0
